Season,Horario,Sitio,B_µg/m3,T_µg/m3,E_µg/m3,X_ µg/m3,B_mg/m3,T_mg/m3,E_mg/m3,X_mg/m3,E_adult_mg/kg,E_niños_mg/kg,LTCR_Adult,LTCR_Niños,HQ_B,HQ_T,HQ_E,HQ_X,Temp_c,Presión_HPA,Vel_Km/h,Dir_degree,Humedad_%
Rainy,B2,CUA,3.804845251,3.228871699,3.565450204,3.478622202,0.003804845,0.003228872,0.00356545,0.003478622,0.001166039,0.00220681,3.47E-05,6.58E-05,0.126828175,0.000645774,0.00356545,0.034786222,29,1008,24,292.5,79
Rainy,B3,CUA,3.245942623,3.04068126,3.571499578,3.476003968,0.003245943,0.003040681,0.0035715,0.003476004,0.000994757,0.001882647,2.96E-05,5.61E-05,0.108198087,0.000608136,0.0035715,0.03476004,29,1005,24,292.5,79
Rainy,B1,CUA,5.575014202,4.974538222,3.696079911,3.876414299,0.005575014,0.004974538,0.00369608,0.003876414,0.001708527,0.003233508,5.09E-05,9.64E-05,0.185833807,0.000994908,0.00369608,0.038764143,27,1007,26,270,88
Rainy,B2,CUA,3.827632348,3.250961392,3.595438765,3.540971362,0.003827632,0.003250961,0.003595439,0.003540971,0.001173022,0.002220027,3.50E-05,6.62E-05,0.127587745,0.000650192,0.003595439,0.035409714,30,1008.666667,25,270,73.33333333
Rainy,B3,CUA,3.866767182,3.575230938,3.648038039,3.631231022,0.003866767,0.003575231,0.003648038,0.003631231,0.001185015,0.002242725,3.53E-05,6.68E-05,0.128892239,0.000715046,0.003648038,0.03631231,31.66666667,1008.666667,16,90,71.93333333
Rainy,B1,CUA,4.217119652,3.826084715,3.58180124,3.624506316,0.00421712,0.003826085,0.003581801,0.003624506,0.001292385,0.002445929,3.85E-05,7.29E-05,0.140570655,0.000765217,0.003581801,0.036245063,27,1009.666667,9,202.5,89.33333333
Rainy,B2,CUA,4.793017158,4.785501979,3.695366154,3.86847116,0.004793017,0.004785502,0.003695366,0.003868471,0.001468875,0.00277995,4.38E-05,8.28E-05,0.159767239,0.0009571,0.003695366,0.038684712,28.66666667,1009,5,328.09,78
Rainy,B3,CUA,3.505524718,3.551476393,3.604433768,3.60883833,0.003505525,0.003551476,0.003604434,0.003608838,0.001074308,0.002033204,3.20E-05,6.06E-05,0.116850824,0.000710295,0.003604434,0.036088383,29,1009,13,315,80
Rainy,B1,CUA,3.787502011,3.479925491,3.592723378,3.63041736,0.003787502,0.003479925,0.003592723,0.003630417,0.001160724,0.002196751,3.46E-05,6.55E-05,0.126250067,0.000695985,0.003592723,0.036304174,26.33333333,1011.666667,8,180,90.33333333
Rainy,B2,CUA,3.649648176,3.375282914,3.553807032,3.526911099,0.003649648,0.003375283,0.003553807,0.003526911,0.001118477,0.002116796,3.33E-05,6.31E-05,0.121654939,0.000675057,0.003553807,0.035269111,26.33333333,1012,9.3,360,85.46666667
Rainy,B3,CUA,3.398579079,3.205617145,3.575716974,3.521252791,0.003398579,0.003205617,0.003575717,0.003521253,0.001041534,0.001971176,3.10E-05,5.87E-05,0.113285969,0.000641123,0.003575717,0.035212528,30,1013,9.15,360,66.2
Rainy,B1,CUA,3.913270218,3.599192777,3.581114694,3.591764085,0.00391327,0.003599193,0.003581115,0.003591764,0.001199267,0.002269697,3.57E-05,6.76E-05,0.130442341,0.000719839,0.003581115,0.035917641,26.33333333,1011.333333,6,180,88.33333333
Rainy,B2,CUA,3.674800614,3.398544496,3.578298957,3.551217664,0.003674801,0.003398544,0.003578299,0.003551218,0.001126185,0.002131384,3.36E-05,6.35E-05,0.122493354,0.000679709,0.003578299,0.035512177,28,1010.666667,6,14.64,78.33333333
Rainy,B3,CUA,3.399291017,3.20628866,3.576466019,3.521990426,0.003399291,0.003206289,0.003576466,0.00352199,0.001041752,0.001971589,3.10E-05,5.88E-05,0.113309701,0.000641258,0.003576466,0.035219904,28.66666667,1008.333333,12,360,78.33333333
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
